iter	Logloss
0	0.6689913828
1	0.6479211052
2	0.6295223373
3	0.6141305759
4	0.6007385965
5	0.5888769118
6	0.5770300598
7	0.5674344549
8	0.5590283655
9	0.551966935
10	0.5472090093
11	0.5398599105
12	0.53435411
13	0.5294278031
14	0.5253949263
15	0.5215762677
16	0.5187828632
17	0.5154561658
18	0.5131114794
19	0.5110406265
20	0.5084290169
21	0.5062085645
22	0.5043380451
23	0.5028485779
24	0.5007278819
25	0.4996872409
26	0.4987205379
27	0.4973671629
28	0.496893955
29	0.4956735886
30	0.4949294319
31	0.4938280377
32	0.4933579514
33	0.4926929964
34	0.4921651497
35	0.4913764281
36	0.4908297763
37	0.4904772447
38	0.4898857966
39	0.4893404198
40	0.4886583049
41	0.4883810999
42	0.4879997906
43	0.4875031708
44	0.4871181564
45	0.4867879643
46	0.4864933012
47	0.4861748714
48	0.4858551146
49	0.4854283324
50	0.4849710908
51	0.4847942145
52	0.4845916476
53	0.4842855627
54	0.4838743345
55	0.4834353904
56	0.4832139836
57	0.4829791369
58	0.4827483359
59	0.4825449606
60	0.4822991835
61	0.4821711437
62	0.4819879268
63	0.4818467954
64	0.4817771798
65	0.481603679
66	0.4815470841
67	0.4813597109
68	0.4812709639
69	0.4811344163
70	0.481014851
71	0.4809171709
72	0.480851648
73	0.4807513864
74	0.4805592917
75	0.4803761848
76	0.480322718
77	0.4801964546
78	0.4801422788
79	0.4800473042
80	0.479904133
81	0.4798338274
82	0.479693357
83	0.4796031145
84	0.4795269156
85	0.4794997394
86	0.4794395329
87	0.4793428802
88	0.4792672372
89	0.4792343001
90	0.4791853639
91	0.4790905603
92	0.479044068
93	0.4790077639
94	0.4789653598
95	0.4788871831
96	0.4788281005
97	0.4787925629
98	0.4786929824
99	0.4786606029
100	0.4786329566
101	0.478609862
102	0.4785323243
103	0.4784564797
104	0.4783559696
105	0.4782856087
106	0.4781264663
107	0.4780933866
108	0.4780313341
109	0.4778901239
110	0.4777987553
111	0.4777459298
112	0.4776957867
113	0.4776761574
114	0.4776533083
115	0.4775948834
116	0.4775575455
117	0.4774940533
118	0.4774507604
119	0.4773599689
120	0.4772645848
121	0.4772339407
122	0.4771906953
123	0.4771190397
124	0.4770698599
125	0.4770512547
126	0.4770016778
127	0.4770016763
128	0.4769662208
129	0.4768732235
130	0.4768368537
131	0.4767966818
132	0.4767490416
133	0.4766967882
134	0.4766342599
135	0.4765800811
136	0.476526938
137	0.4764425151
138	0.4764110103
139	0.47635317
140	0.4763282044
141	0.4763034061
142	0.4761856955
143	0.4761378418
144	0.4760817412
145	0.4760137933
146	0.4759700174
147	0.4759460563
148	0.475887047
149	0.4758185837
150	0.4757990943
151	0.4757559397
152	0.4757274651
153	0.4756800465
154	0.4756767248
155	0.4756135096
156	0.4755806791
157	0.4754954125
158	0.4754645336
159	0.4754260941
160	0.4753446673
161	0.4752768195
162	0.475158488
163	0.4751204935
164	0.475108244
165	0.4750865081
166	0.475018636
