iter	Passed	Remaining
0	12	13759
1	24	13570
2	32	12000
3	38	10684
4	44	9801
5	52	9548
6	59	9331
7	66	9070
8	73	8898
9	79	8676
10	84	8379
11	92	8370
12	100	8367
13	107	8360
14	112	8161
15	118	8022
16	124	7906
17	130	7861
18	137	7797
19	144	7779
20	149	7703
21	155	7605
22	161	7573
23	167	7508
24	174	7514
25	180	7445
26	185	7391
27	192	7358
28	197	7302
29	204	7284
30	210	7251
31	216	7226
32	222	7196
33	228	7155
34	235	7154
35	242	7153
36	247	7120
37	254	7122
38	260	7090
39	267	7088
40	273	7062
41	279	7042
42	286	7031
43	293	7040
44	301	7058
45	307	7044
46	313	7012
47	318	6988
48	324	6954
49	330	6939
50	336	6916
51	342	6903
52	348	6883
53	356	6912
54	362	6894
55	369	6882
56	374	6855
57	380	6841
58	387	6842
59	393	6823
60	400	6824
61	406	6808
62	413	6804
63	419	6792
64	425	6781
65	432	6774
66	439	6773
67	445	6754
68	451	6747
69	457	6731
70	475	6888
71	491	7019
72	498	7016
73	505	7010
74	511	6996
75	518	6988
76	525	6977
77	531	6963
78	537	6949
79	543	6926
80	549	6918
81	556	6909
82	562	6890
83	569	6884
84	575	6875
85	579	6833
86	609	7099
87	616	7095
88	624	7093
89	632	7094
90	638	7081
91	644	7064
92	651	7053
93	658	7042
94	663	7014
95	669	7006
96	676	6993
97	681	6970
98	688	6956
99	693	6939
100	702	6949
101	708	6936
102	719	6962
103	726	6958
104	733	6951
105	752	7054
106	759	7045
107	767	7048
108	773	7034
109	781	7029
110	788	7024
111	794	7010
112	802	7009
113	809	7001
114	815	6988
115	823	6984
116	830	6977
117	838	6977
118	844	6961
119	851	6955
120	858	6945
121	867	6956
122	875	6956
123	884	6958
124	892	6964
125	902	6980
126	924	7080
127	933	7090
128	950	7154
129	961	7173
130	975	7214
131	985	7230
132	993	7220
133	1001	7220
134	1009	7216
135	1017	7211
136	1024	7200
137	1032	7194
138	1039	7184
139	1047	7180
140	1053	7166
141	1061	7162
142	1068	7152
143	1074	7136
144	1082	7129
145	1088	7115
146	1095	7102
147	1102	7089
148	1108	7074
149	1115	7065
150	1121	7050
151	1128	7039
152	1135	7027
153	1143	7024
154	1149	7009
155	1158	7007
156	1166	7008
157	1173	6998
158	1181	6989
159	1188	6983
160	1196	6978
161	1203	6967
162	1211	6965
163	1219	6958
164	1227	6957
165	1234	6948
166	1240	6933
167	1249	6930
168	1256	6919
169	1263	6910
170	1270	6900
171	1277	6892
172	1284	6882
173	1291	6875
174	1299	6867
175	1305	6854
176	1312	6844
177	1319	6834
178	1326	6825
179	1334	6820
180	1338	6797
181	1347	6796
182	1354	6785
183	1363	6787
184	1371	6781
185	1380	6782
186	1387	6772
187	1394	6766
188	1401	6755
189	1410	6753
190	1417	6745
191	1424	6735
192	1431	6729
193	1439	6724
194	1448	6720
195	1454	6709
196	1462	6701
197	1469	6694
198	1478	6691
199	1483	6677
200	1491	6669
201	1499	6667
202	1506	6658
203	1516	6659
204	1523	6650
205	1531	6645
206	1538	6636
207	1547	6638
208	1556	6636
209	1564	6632
210	1571	6621
211	1580	6619
212	1587	6612
213	1596	6607
214	1602	6597
215	1610	6592
216	1617	6580
217	1625	6575
218	1633	6569
