iter	Logloss
0	0.663698565
1	0.6388932849
2	0.6178961606
3	0.6010173403
4	0.586093805
5	0.5733653184
6	0.560575623
7	0.5538425397
8	0.5459124823
9	0.5404749954
10	0.5322170514
11	0.5251975399
12	0.5201022059
13	0.5156193873
14	0.5130344718
15	0.5090456559
16	0.5075685085
17	0.5052313816
18	0.5039103683
19	0.5015357056
20	0.5001053006
21	0.4977118662
22	0.4969073694
23	0.4947706217
24	0.4933266543
25	0.492256124
26	0.4912068254
27	0.489968741
28	0.4897090529
29	0.4887597675
30	0.4878187901
31	0.4868680097
32	0.48616251
33	0.4857736345
34	0.4851453537
35	0.4846595142
36	0.4841848561
37	0.4837142342
38	0.4834562781
39	0.4831554064
40	0.4828455366
41	0.4823689553
42	0.4819203414
43	0.4815142013
44	0.4813745308
45	0.4809957684
46	0.4807684236
47	0.4805086503
48	0.4802599
49	0.4801443451
50	0.479739743
51	0.4795575482
52	0.4791932287
53	0.479076605
54	0.4788432671
55	0.4786474146
56	0.478587088
57	0.4784493543
58	0.4784353078
59	0.4781390201
60	0.4778998667
61	0.4778057688
62	0.4776726179
63	0.4775563588
64	0.4774178672
65	0.4773376825
66	0.4772069006
67	0.4769449527
68	0.4767847155
69	0.4766614565
70	0.4766117152
71	0.4764310146
72	0.4762307204
73	0.4760602494
74	0.4758578343
75	0.4757057736
76	0.4755937367
77	0.475425967
78	0.475368873
79	0.4751390228
80	0.4750667959
81	0.4750442818
82	0.4750082109
83	0.475007234
84	0.4749884211
85	0.4749546175
86	0.4748999194
87	0.4748510943
88	0.4747984617
89	0.4746980763
90	0.4745725784
91	0.4744874416
92	0.474332649
93	0.4742080494
94	0.474110919
95	0.4740520229
96	0.4740117591
97	0.4738958935
98	0.4738212101
99	0.4737031079
100	0.4736174663
101	0.473537651
102	0.4734409175
103	0.4734029403
104	0.4733066962
105	0.4731698504
106	0.473124526
107	0.473060344
108	0.4730326909
109	0.472982342
110	0.4729080312
111	0.4728752082
112	0.4727818352
113	0.4726094034
114	0.4725206859
115	0.472472118
116	0.472405906
117	0.4724058997
118	0.4723548114
119	0.4722776718
120	0.472176658
121	0.4719963288
122	0.4719952275
123	0.4718858258
124	0.4717206069
125	0.4715668647
126	0.4714402632
127	0.4713891625
128	0.4713651692
129	0.4713369261
130	0.471189407
131	0.4710708826
132	0.4710703505
133	0.4710533067
134	0.4709245052
135	0.4708396451
136	0.4706730633
137	0.4705710426
138	0.4705626318
139	0.4703941023
140	0.4703083482
141	0.4702756845
