iter	Passed	Remaining
0	46	46002
1	65	32672
2	77	25814
3	84	21148
4	94	18898
5	104	17362
6	116	16508
7	122	15211
8	132	14644
9	139	13798
10	149	13430
11	158	13029
12	166	12649
13	176	12456
14	186	12255
15	197	12144
16	204	11841
17	217	11852
18	224	11587
19	234	11497
20	243	11346
21	253	11259
22	259	11013
23	271	11044
24	280	10948
25	292	10950
26	302	10890
27	311	10817
28	318	10662
29	328	10614
30	338	10577
31	349	10574
32	359	10542
33	369	10503
34	379	10474
35	392	10498
36	401	10456
37	412	10452
38	423	10423
39	435	10442
40	443	10382
41	454	10364
42	467	10413
43	477	10384
44	490	10400
45	501	10396
46	511	10380
47	521	10341
48	532	10333
49	542	10302
50	552	10288
51	562	10256
52	572	10220
53	581	10194
54	591	10163
55	602	10159
56	611	10124
57	623	10124
58	631	10074
59	641	10049
60	650	10017
61	660	9997
62	673	10017
63	684	10011
64	695	10006
65	705	9979
66	715	9963
67	726	9961
68	737	9956
69	748	9947
70	761	9965
71	772	9958
72	786	9982
73	797	9978
74	807	9962
75	819	9963
76	831	9961
77	841	9949
78	851	9929
79	863	9928
80	873	9910
81	879	9847
82	892	9859
83	900	9821
84	911	9811
85	921	9797
86	932	9787
87	943	9775
88	952	9753
89	963	9746
90	974	9732
91	985	9725
92	997	9724
93	1011	9749
94	1022	9737
95	1032	9719
96	1044	9720
97	1055	9714
98	1065	9696
99	1077	9693
100	1089	9698
101	1100	9692
102	1111	9677
103	1119	9640
104	1128	9620
105	1138	9601
106	1148	9586
107	1158	9565
108	1167	9544
109	1177	9530
110	1189	9525
111	1199	9512
112	1210	9505
113	1222	9498
114	1233	9494
115	1243	9479
116	1256	9480
117	1262	9435
118	1273	9426
119	1284	9418
120	1293	9399
121	1304	9388
122	1311	9352
123	1322	9341
124	1332	9328
125	1342	9311
126	1352	9294
127	1361	9276
128	1371	9263
129	1381	9244
130	1391	9230
131	1402	9220
132	1408	9183
133	1418	9165
134	1429	9160
135	1439	9146
136	1450	9134
137	1460	9121
138	1466	9084
139	1477	9075
140	1488	9069
141	1498	9053
142	1508	9038
143	1518	9029
144	1528	9013
145	1538	9001
146	1548	8982
147	1562	8995
148	1576	9003
149	1591	9015
150	1605	9025
151	1615	9014
152	1625	8997
153	1635	8987
154	1646	8977
155	1658	8971
156	1668	8959
157	1677	8939
158	1688	8931
159	1699	8921
160	1711	8917
161	1722	8911
162	1735	8911
163	1748	8915
164	1760	8909
165	1770	8895
166	1780	8880
167	1790	8868
168	1801	8860
169	1812	8848
170	1823	8841
171	1833	8828
172	1845	8824
173	1857	8818
174	1869	8812
175	1879	8799
176	1889	8787
177	1900	8776
178	1910	8760
179	1919	8745
180	1929	8731
181	1939	8716
182	1948	8700
183	1958	8683
184	1967	8669
185	1978	8658
186	1988	8644
187	1998	8632
188	2009	8622
189	2020	8612
190	2032	8607
191	2043	8600
192	2055	8593
193	2067	8589
194	2078	8579
195	2088	8568
196	2100	8560
197	2111	8552
198	2120	8537
199	2131	8524
200	2141	8513
201	2152	8504
202	2162	8490
203	2174	8484
204	2185	8474
205	2197	8471
206	2207	8456
207	2218	8445
208	2229	8437
209	2240	8428
210	2252	8421
211	2266	8423
212	2281	8429
213	2292	8418
214	2303	8410
215	2315	8404
216	2325	8392
217	2337	8383
218	2348	8373
219	2361	8373
220	2373	8365
221	2385	8358
222	2396	8350
223	2407	8341
224	2419	8332
225	2431	8325
226	2440	8311
227	2451	8301
228	2463	8293
229	2473	8279
230	2485	8273
231	2495	8260
232	2508	8255
233	2518	8243
234	2529	8233
235	2538	8218
236	2548	8205
237	2557	8189
238	2567	8174
239	2577	8160
240	2587	8147
241	2597	8137
242	2608	8124
243	2619	8114
244	2628	8101
245	2638	8086
246	2648	8072
247	2657	8059
248	2668	8048
249	2678	8034
250	2687	8020
251	2698	8010
252	2711	8004
253	2722	7995
254	2732	7984
255	2743	7974
256	2754	7962
257	2764	7949
258	2776	7942
259	2789	7938
260	2799	7926
261	2812	7922
262	2824	7915
263	2834	7902
264	2845	7891
265	2856	7882
266	2867	7873
267	2879	7865
268	2892	7859
269	2904	7852
270	2915	7841
271	2925	7830
272	2936	7819
273	2946	7807
274	2959	7803
275	2971	7794
276	2981	7782
277	2996	7781
278	3006	7769
279	3015	7754
280	3026	7745
281	3037	7733
282	3047	7719
283	3057	7709
284	3069	7701
285	3080	7690
286	3091	7680
287	3102	7669
288	3114	7662
289	3125	7652
290	3136	7641
291	3146	7628
292	3155	7615
293	3165	7601
294	3176	7591
295	3187	7580
296	3197	7567
297	3208	7558
298	3219	7547
299	3228	7534
300	3240	7525
301	3250	7513
302	3263	7506
303	3274	7496
304	3287	7491
305	3297	7478
306	3310	7473
307	3322	7464
308	3331	7450
309	3343	7441
310	3353	7429
311	3364	7418
312	3376	7411
313	3386	7399
314	3396	7386
315	3407	7375
316	3417	7362
317	3427	7351
318	3438	7340
319	3449	7329
320	3458	7316
321	3470	7306
322	3480	7294
323	3492	7286
324	3503	7275
325	3513	7263
326	3522	7250
327	3533	7239
328	3544	7228
329	3554	7216
330	3565	7205
331	3575	7193
332	3584	7180
333	3594	7166
334	3606	7158
335	3615	7145
336	3625	7131
337	3635	7121
338	3645	7108
339	3654	7094
340	3664	7081
341	3674	7069
342	3684	7057
343	3696	7049
344	3707	7038
345	3721	7034
346	3732	7024
347	3742	7011
348	3752	6999
349	3763	6989
350	3772	6976
351	3784	6966
352	3795	6956
353	3805	6945
354	3816	6933
355	3826	6921
356	3836	6909
357	3846	6897
358	3855	6884
359	3866	6874
360	3879	6866
361	3891	6858
362	3904	6851
363	3915	6840
364	3924	6828
365	3934	6816
366	3945	6804
367	3955	6792
368	3965	6780
369	3974	6767
370	3984	6755
371	3994	6743
372	4003	6729
373	4013	6717
374	4022	6704
375	4035	6696
376	4045	6685
377	4055	6673
378	4065	6661
379	4075	6649
380	4087	6640
381	4097	6629
382	4108	6619
383	4119	6608
384	4131	6599
385	4142	6588
386	4152	6577
387	4162	6566
388	4173	6554
389	4183	6543
390	4193	6531
391	4204	6520
392	4214	6509
393	4224	6497
394	4233	6484
395	4244	6474
396	4255	6462
397	4264	6450
398	4275	6439
399	4284	6427
400	4294	6414
401	4303	6401
402	4314	6391
403	4325	6380
404	4334	6367
405	4344	6356
406	4355	6346
407	4366	6336
408	4378	6326
409	4389	6316
410	4400	6306
411	4411	6296
412	4421	6284
413	4431	6272
414	4440	6259
415	4450	6247
416	4460	6236
417	4470	6224
418	4481	6214
419	4491	6202
420	4505	6196
421	4515	6184
422	4527	6175
423	4538	6164
424	4548	6153
425	4558	6142
426	4568	6130
427	4578	6118
428	4587	6106
429	4597	6094
430	4607	6082
431	4617	6070
432	4627	6059
433	4636	6046
434	4645	6034
435	4657	6024
436	4667	6012
437	4676	6000
438	4686	5989
439	4696	5977
440	4706	5965
441	4715	5952
442	4725	5941
443	4735	5929
444	4746	5919
445	4756	5908
446	4768	5898
447	4777	5887
448	4789	5877
449	4798	5865
450	4809	5854
451	4820	5844
452	4829	5832
453	4839	5820
454	4850	5809
455	4860	5798
456	4870	5786
457	4879	5774
458	4890	5764
459	4899	5751
460	4910	5741
461	4920	5730
462	4930	5718
463	4940	5707
464	4949	5695
465	4959	5683
466	4969	5671
467	4979	5660
468	4988	5647
469	4998	5636
470	5007	5624
471	5017	5612
472	5027	5601
473	5038	5591
474	5050	5581
475	5060	5570
476	5070	5559
477	5081	5548
478	5091	5537
479	5102	5527
480	5113	5517
481	5124	5507
482	5135	5496
483	5145	5485
484	5157	5476
485	5167	5465
486	5176	5453
487	5187	5442
488	5196	5430
489	5208	5421
490	5220	5411
491	5232	5402
492	5245	5394
493	5255	5383
494	5265	5371
495	5275	5360
496	5285	5349
497	5295	5338
498	5306	5327
499	5316	5316
500	5327	5306
501	5337	5294
502	5346	5282
503	5356	5271
504	5367	5260
505	5377	5250
506	5387	5238
507	5396	5227
508	5407	5216
509	5417	5205
510	5426	5193
511	5436	5181
512	5447	5170
513	5457	5160
514	5468	5150
515	5479	5139
516	5491	5130
517	5501	5119
518	5511	5108
519	5522	5097
520	5532	5086
521	5542	5075
522	5554	5065
523	5564	5054
524	5574	5043
525	5583	5031
526	5593	5020
527	5602	5008
528	5613	4998
529	5622	4986
530	5632	4975
531	5642	4963
532	5654	4954
533	5665	4944
534	5675	4932
535	5684	4921
536	5694	4909
537	5704	4898
538	5714	4887
539	5724	4876
540	5734	4865
541	5745	4855
542	5755	4844
543	5766	4833
544	5775	4821
545	5784	4810
546	5794	4799
547	5804	4787
548	5815	4777
549	5825	4766
550	5836	4755
551	5847	4746
552	5859	4736
553	5869	4725
554	5879	4714
555	5888	4702
556	5898	4691
557	5907	4679
558	5917	4668
559	5928	4657
560	5939	4647
561	5949	4637
562	5963	4628
563	5972	4617
564	5982	4606
565	5993	4595
566	6002	4583
567	6015	4574
568	6025	4563
569	6034	4552
570	6044	4541
571	6054	4530
572	6064	4519
573	6074	4508
574	6085	4497
575	6095	4486
576	6104	4475
577	6114	4464
578	6125	4453
579	6134	4442
580	6144	4431
581	6154	4420
582	6164	4409
583	6174	4398
584	6184	4387
585	6196	4377
586	6205	4365
587	6215	4354
588	6224	4343
589	6234	4332
590	6244	4321
591	6253	4310
592	6263	4298
593	6273	4287
594	6282	4276
595	6293	4266
596	6302	4254
597	6312	4243
598	6321	4231
599	6330	4220
600	6340	4209
601	6350	4198
602	6359	4187
603	6369	4176
604	6379	4165
605	6389	4154
606	6400	4143
607	6412	4134
608	6422	4123
609	6433	4113
610	6444	4102
611	6455	4092
612	6466	4082
613	6476	4071
614	6486	4060
615	6497	4050
616	6509	4040
617	6519	4029
618	6528	4018
619	6541	4009
620	6551	3998
621	6562	3988
622	6574	3978
623	6584	3967
624	6596	3957
625	6607	3947
626	6617	3936
627	6627	3926
628	6637	3915
629	6648	3904
630	6658	3894
631	6670	3884
632	6681	3873
633	6693	3864
634	6704	3853
635	6714	3842
636	6724	3832
637	6734	3821
638	6744	3810
639	6755	3799
640	6767	3790
641	6780	3781
642	6791	3770
643	6802	3760
644	6814	3750
645	6825	3740
646	6836	3729
647	6846	3719
648	6858	3709
649	6869	3698
650	6881	3689
651	6892	3678
652	6902	3668
653	6913	3657
654	6923	3646
655	6934	3636
656	6944	3625
657	6954	3614
658	6966	3604
659	6976	3593
660	6987	3583
661	7000	3574
662	7010	3563
663	7020	3552
664	7031	3542
665	7041	3531
666	7053	3521
667	7062	3510
668	7072	3499
669	7082	3488
670	7092	3477
671	7103	3467
672	7113	3456
673	7122	3445
674	7133	3434
675	7143	3423
676	7153	3412
677	7162	3401
678	7175	3392
679	7185	3381
680	7194	3370
681	7205	3359
682	7216	3349
683	7226	3338
684	7237	3328
685	7247	3317
686	7258	3307
687	7268	3296
688	7279	3285
689	7288	3274
690	7299	3263
691	7311	3254
692	7321	3243
693	7330	3232
694	7340	3221
695	7350	3210
696	7360	3199
697	7370	3188
698	7383	3179
699	7393	3168
700	7403	3157
701	7413	3147
702	7423	3136
703	7433	3125
704	7443	3114
705	7455	3104
706	7465	3093
707	7477	3084
708	7488	3073
709	7498	3062
710	7507	3051
711	7517	3040
712	7527	3030
713	7538	3019
714	7548	3009
715	7559	2998
716	7570	2988
717	7581	2977
718	7591	2966
719	7601	2956
720	7611	2945
721	7621	2934
722	7631	2923
723	7641	2913
724	7651	2902
725	7662	2891
726	7672	2881
727	7681	2870
728	7691	2859
729	7700	2848
730	7710	2837
731	7720	2826
732	7731	2816
733	7740	2805
734	7751	2794
735	7760	2783
736	7770	2772
737	7780	2762
738	7791	2751
739	7801	2740
740	7811	2730
741	7819	2719
742	7829	2708
743	7838	2697
744	7848	2686
745	7858	2675
746	7867	2664
747	7877	2654
748	7887	2643
749	7897	2632
750	7908	2622
751	7917	2611
752	7927	2600
753	7936	2589
754	7948	2579
755	7959	2569
756	7972	2559
757	7983	2548
758	7995	2538
759	8005	2528
760	8016	2517
761	8027	2507
762	8038	2496
763	8048	2486
764	8058	2475
765	8069	2464
766	8080	2454
767	8090	2444
768	8101	2433
769	8112	2423
770	8124	2413
771	8135	2402
772	8146	2392
773	8157	2381
774	8166	2370
775	8177	2360
776	8187	2349
777	8197	2339
778	8207	2328
779	8216	2317
780	8226	2306
781	8235	2295
782	8245	2285
783	8255	2274
784	8265	2263
785	8275	2253
786	8285	2242
787	8296	2231
788	8306	2221
789	8315	2210
790	8326	2200
791	8337	2189
792	8346	2178
793	8356	2168
794	8366	2157
795	8378	2147
796	8389	2136
797	8398	2126
798	8408	2115
799	8418	2104
800	8427	2093
801	8437	2083
802	8447	2072
803	8457	2061
804	8466	2050
805	8476	2040
806	8486	2029
807	8496	2018
808	8506	2008
809	8515	1997
810	8525	1986
811	8533	1975
812	8543	1965
813	8553	1954
814	8565	1944
815	8575	1933
816	8585	1922
817	8595	1912
818	8604	1901
819	8614	1891
820	8626	1880
821	8637	1870
822	8646	1859
823	8656	1848
824	8665	1838
825	8675	1827
826	8685	1816
827	8696	1806
828	8707	1796
829	8716	1785
830	8725	1774
831	8735	1763
832	8744	1753
833	8755	1742
834	8765	1732
835	8775	1721
836	8787	1711
837	8805	1702
838	8815	1691
839	8826	1681
840	8835	1670
841	8845	1659
842	8855	1649
843	8864	1638
844	8875	1627
845	8885	1617
846	8894	1606
847	8904	1596
848	8914	1585
849	8923	1574
850	8932	1564
851	8941	1553
852	8951	1542
853	8961	1532
854	8971	1521
855	8980	1510
856	8992	1500
857	9001	1489
858	9011	1479
859	9020	1468
860	9030	1457
861	9040	1447
862	9049	1436
863	9060	1426
864	9070	1415
865	9080	1405
866	9093	1394
867	9103	1384
868	9113	1373
869	9123	1363
870	9132	1352
871	9143	1342
872	9153	1331
873	9166	1321
874	9176	1310
875	9186	1300
876	9196	1289
877	9206	1279
878	9216	1268
879	9226	1258
880	9236	1247
881	9245	1236
882	9256	1226
883	9265	1215
884	9275	1205
885	9287	1195
886	9299	1184
887	9313	1174
888	9324	1164
889	9337	1154
890	9350	1143
891	9364	1133
892	9375	1123
893	9386	1112
894	9396	1102
895	9408	1092
896	9418	1081
897	9428	1070
898	9438	1060
899	9449	1049
900	9460	1039
901	9470	1028
902	9481	1018
903	9492	1008
904	9503	997
905	9513	987
906	9524	976
907	9534	966
908	9544	955
909	9556	945
910	9568	934
911	9579	924
912	9590	913
913	9599	903
914	9610	892
915	9620	882
916	9631	871
917	9643	861
918	9653	850
919	9663	840
920	9674	829
921	9684	819
922	9695	808
923	9706	798
924	9718	788
925	9728	777
926	9739	766
927	9750	756
928	9761	746
929	9773	735
930	9784	725
931	9795	714
932	9805	704
933	9817	693
934	9829	683
935	9840	672
936	9851	662
937	9865	652
938	9876	641
939	9887	631
940	9897	620
941	9907	610
942	9919	599
943	9931	589
944	9941	578
945	9952	568
946	9963	557
947	9974	547
948	9985	536
949	9997	526
950	10008	515
951	10019	505
952	10031	494
953	10040	484
954	10054	473
955	10064	463
956	10074	452
957	10085	442
958	10094	431
959	10105	421
960	10114	410
961	10124	399
962	10134	389
963	10144	378
964	10153	368
965	10164	357
966	10174	347
967	10184	336
968	10194	326
969	10204	315
970	10214	305
971	10223	294
972	10234	283
973	10244	273
974	10254	262
975	10265	252
976	10274	241
977	10285	231
978	10296	220
979	10305	210
980	10316	199
981	10328	189
982	10338	178
983	10350	168
984	10363	157
985	10375	147
986	10388	136
987	10402	126
988	10415	115
989	10426	105
990	10437	94
991	10449	84
992	10460	73
993	10469	63
994	10480	52
995	10490	42
996	10500	31
997	10510	21
998	10520	10
999	10530	0
