iter	RMSE
0	0.4838229914
1	0.4797447533
2	0.4763924149
3	0.4732096857
4	0.4705223615
5	0.4680407253
6	0.4658351918
7	0.4639461539
8	0.462197043
9	0.4605770412
10	0.45928869
11	0.4581007664
12	0.4570430648
13	0.4560921389
14	0.455237422
15	0.4544558479
16	0.4537543579
17	0.453086997
18	0.4525721199
19	0.4520389116
20	0.4515507807
21	0.4510891226
22	0.450735062
23	0.4503820033
24	0.4501382763
25	0.4498561385
26	0.4495384047
27	0.4492714765
28	0.448963725
29	0.4487545962
30	0.4486695935
31	0.4484751939
32	0.4482576986
33	0.4481118939
34	0.4479604055
35	0.4478049644
36	0.4476123331
37	0.447513291
38	0.4473846678
39	0.4472189172
40	0.447070107
41	0.4469430954
42	0.4468247499
43	0.4467706853
44	0.4466763822
45	0.4465497976
46	0.4464507065
47	0.4463546123
48	0.446238562
49	0.446154037
50	0.4460368013
51	0.4459313998
52	0.4458236679
53	0.4457724316
54	0.4456891033
55	0.4456124654
56	0.4455160661
57	0.4454530145
58	0.4453665909
59	0.4452779938
60	0.4452153787
61	0.4451433149
62	0.4450529053
63	0.4449871553
64	0.4449197631
65	0.4448384332
66	0.4447508563
67	0.4446479136
68	0.4445737329
69	0.4445042952
70	0.4444307817
71	0.4443832128
72	0.4443105055
73	0.4442483539
74	0.4441772845
75	0.4441166254
76	0.4440570981
77	0.4440138896
78	0.4440098753
79	0.4439473213
80	0.4438877412
81	0.4438569879
82	0.4438322514
83	0.4438032379
84	0.4437331081
85	0.4436775584
86	0.4436615423
87	0.4435819644
88	0.4434975826
89	0.443415722
90	0.4433793472
91	0.4433047193
92	0.4432270059
93	0.443222087
94	0.4431522913
95	0.4430935093
96	0.4430324314
97	0.4429654126
98	0.4429012089
99	0.4428369991
100	0.4427807434
101	0.4427278045
102	0.4426904538
103	0.4426613046
104	0.4426121709
105	0.4425773436
106	0.4425368325
107	0.4424929503
108	0.4424859056
109	0.442433629
110	0.4423635693
111	0.4423154996
112	0.4422854433
113	0.4422133707
114	0.4421718989
115	0.4420936258
116	0.4420217903
117	0.4419592139
118	0.4418918536
119	0.4418370689
120	0.4417546663
121	0.4416860094
122	0.4416219195
123	0.4415536514
124	0.4415266178
125	0.4414618547
126	0.4414037176
127	0.4413461356
128	0.441294668
129	0.4412625003
130	0.4412332643
131	0.4411761072
132	0.4411570825
133	0.4411169306
134	0.4410590776
135	0.4410057126
136	0.4409547334
137	0.4408975825
138	0.440844034
139	0.4407866812
140	0.4407698638
141	0.4407303177
142	0.4406750624
143	0.4406284005
144	0.4405552209
145	0.4405125608
146	0.4404719602
147	0.4404136808
148	0.4403405181
149	0.4403036542
150	0.4402423355
151	0.4401914682
152	0.4401351953
153	0.4400911216
154	0.4400475794
155	0.4399811423
156	0.4399422298
157	0.4398807931
158	0.4398350952
159	0.4397750482
160	0.4396977243
161	0.4396639171
162	0.4396179498
163	0.4395583189
164	0.4394851047
165	0.4394411962
166	0.4393889439
167	0.4393556078
168	0.4392976506
169	0.439232303
170	0.4392009961
171	0.4391586849
172	0.4391146638
173	0.4390568876
174	0.4389812054
175	0.4389305972
176	0.4388708515
177	0.4388206874
178	0.4387413667
179	0.4386987413
180	0.4386528115
181	0.4386124364
182	0.4385419829
183	0.4384826956
184	0.4384307647
185	0.4383545058
186	0.4382919894
187	0.4382397733
188	0.4381892122
189	0.4381339425
190	0.4380570376
191	0.4380050398
192	0.4379567432
193	0.4379315963
194	0.4378715756
195	0.437836313
196	0.4377883333
197	0.437751944
198	0.4376980454
199	0.4376669679
200	0.4376115952
201	0.4375713725
202	0.4375257772
203	0.4374736203
204	0.4374335143
205	0.4373619755
206	0.4373037632
207	0.4372559982
208	0.4372082013
209	0.4371386909
210	0.4370927775
211	0.4370483519
212	0.4370018719
213	0.4369516468
214	0.4369213515
215	0.4368799141
216	0.4368330529
217	0.4367938103
218	0.436726079
219	0.436664016
220	0.4366247893
221	0.4365726093
222	0.4365282984
223	0.4364795416
224	0.4364321616
225	0.4363772051
226	0.4363367301
227	0.4362946537
228	0.4362321629
229	0.4361892664
230	0.4361496717
231	0.436084924
232	0.4360525931
233	0.4359910608
234	0.4359478684
235	0.4359188515
236	0.435863862
